Akyürekplatz, 4
Albrechtstraße, 3
Alte Münze, 4
Am Funkturm, 2
Am Galgesch, 1
Am Huxmühlenbach, 3
Am Kirchenkamp, 3
Am Mühlenkamp, 2
Am Natruper Holz, 3
Am Pyer Ding, 1
Ameldungstraße, 2
An der Blankenburg, 4
An der Bornau, 4
An der Netter Heide, 2
An der Rosenburg, 4
An der Spitze, 1.5
Arndtplatz, 4
Atterstraße, 4
August-Bebel-Platz, 4
Belmer Straße, 3.5
Bergerskamp, 2
Blumenhaller Weg, 4
Bramscher Straße, 5
Bramstraße, 3.5
Breite Güntke, 3.5
Bremer Straße, 4
Brinkstraße, 2
Bröckerweg, 2
Brückenstraße, 4
Burg Gretesch, 3
Die Eversburg, 2
Dielinger Straße, 3.5
Domhof, 3
Ellerstraße, 3.5
Erich-Maria-Remarque-Ring, 5
Eversburger Platz, 5
Finkenhügel, 3
Franz-Lenz-Straße, 4
Friedrich-Lehmann-Platz, 2
Fritz-Reuter-Straße, 2
Fürstenauer Weg, 4
Gluckstraße, 3
Goethering, 5
Große Schulstraße, 3
Gustav-Tweer-Straße, 3
Haarlemer Brücke, 5
Hamburger Straße, 4
Haneschstraße, 4
Hannoversche Straße, 4.5
Hansastraße, 5
Hardinghausstraße, 4
Hasestraße, 4
Hasetorwall, 5
Haster Weg, 4
Hauswörmannsweg, 2
Heger-Tor-Wall, 5
Heiligenweg, 3
Heinrich-Heine-Straße, 3
Herderstraße, 4
Hettlicher Masch, 3
Hiärm-Grupe-Straße, 2
Hoffmeyerplatz, 4
Holsten-Mundruper-Straße, 3
Hunteburger Weg, 3
Händelstraße, 3
Iburger Straße, 5
Ickerweg, 2
In der Dodesheide, 3
Johannistorwall, 5
Kirchstraße, 1.5
Kirksweg, 1
Kleine Schulstraße, 2
Klöcknerstraße, 5
Klöntrupstraße, 2.5
Knollstraße, 2
Kollegienwall, 4.5
Kommanderiestraße, 3
Konrad-Adenauer-Ring, 5
Kurt-Schumacher-Damm, 5
Laischaftsstraße, 3
Lengericher Landstraße, 4
Lieneschweg, 2
Lortzingstraße, 3
Lyrastraße, 3
Magdalenenstraße, 3
Martinistraße, 5
Meller Landstraße, 4
Meller Straße, 4
Mindener Straße, 4
Miquelstraße, 4
Mozartstraße, 3
Möserstraße, 4
Mühleneschweg, 1
Narupstraße, 4
Neuer Graben, 4
Neumarkt, 4
Nordstraße, 4
Pagenstecherstraße, 5
Parkstraße, 4
Pattbrede, 2
Petersburger Wall, 5
Petrusallee, 1
Pottgraben, 3
Quellwiese, 3
Rehmstraße, 2.5
Rehmstraße, 3
Rheiner Landstraße, 4
Riedenbach, 3
Rosenplatz, 4
Römereschstraße, 5
Schellenbergstraße, 4
Schiefe Güntke, 1
Schlagvorder Straße, 4
Schledehauser Weg, 1
Schloßwall, 5
Schweerstraße, 3
Schützenstraße, 3
Sedanstraße, 2
Seilerweg, 3
Springmannkamp, 3
Stadtweg, 1.5
Stahlwerksweg, 3
Stresemannplatz, 5
Strothmannsweg, 2
Stüvestraße, 4
Sutthauser Straße, 4.5
Südstraße, 1
Süntelstraße, 3
Süsterstraße, 3
Tannenburgstraße, 3.5
Teichstraße, 2
Uhlhornstraße, 4
Vehrter Landstraße, 4
Von-Kerssenbrock-Allee, 1.5
Voxtruper Straße, 2
Wachsbleiche, 2
Walkmühlenweg, 3
Webelstraße, 2
Weiße Breite, 1
Wellmannsweg, 2
Wersener Straße, 5
Westerbreite, 1
Willy-Brandt-Platz, 4
Windthorststraße, 3
Wittekindstraße, 4
Ölweg, 2.5
